team,division,opp_21,ps_21,pa_21,result_21,pd_21,opp_20,ps_20,pa_20,result_20,pd_20,wins_20
BUF,AFCE,PIT,16,23,L,-7,NYJ,27,17,W,10,13
NE,AFCE,MIA,16,17,L,-1,MIA,21,11,W,10,7
MIA,AFCE,NE,17,16,W,1,NE,11,21,L,-10,10
NYJ,AFCE,CAR,14,19,L,-5,BUF,17,27,L,-10,2
DEN,AFCW,NYG,27,13,W,14,TEN,14,16,L,-2,5
LV,AFCW,BAL,33,27,W,6,CAR,34,30,W,4,8
LAC,AFCW,WAS,20,16,W,4,CIN,16,13,W,3,7
KC,AFCW,CLE,33,29,W,4,HOU,34,20,W,14,14
JAX,AFCS,HOU,21,37,L,-16,IND,27,20,W,7,1
TEN,AFCS,ARI,13,38,L,-25,DEN,16,14,W,2,11
IND,AFCS,SEA,16,28,L,-12,JAX,20,27,L,-7,11
HOU,AFCS,JAX,37,21,W,16,KC,20,34,L,-14,4
PIT,AFCN,BUF,23,16,W,7,NYG,26,16,W,10,12
BAL,AFCN,LV,27,33,L,-6,CLE,38,6,W,32,11
CLE,AFCN,KC,29,33,L,-4,BAL,6,38,L,-32,11
CIN,AFCN,MIN,27,24,W,3,LAC,13,16,L,-3,4
PHI,NFCE,ATL,32,6,W,26,WAS,17,27,L,-10,4
NYG,NFCE,DEN,13,27,L,-14,PIT,16,26,L,-10,6
DAL,NFCE,TB,29,31,L,-2,LAR,17,20,L,-3,6
WAS,NFCE,LAC,16,20,L,-4,PHI,27,17,W,10,7
CAR,NFCS,NYJ,19,14,W,5,LV,30,34,L,-4,5
TB,NFCS,DAL,31,29,W,2,NO,23,34,L,-11,11
NO,NFCS,GB,38,3,W,35,TB,34,23,W,11,12
ATL,NFCS,PHI,6,32,L,-26,SEA,25,38,L,-13,4
SEA,NFCW,IND,28,16,W,12,ATL,38,25,W,13,12
ARI,NFCW,TEN,38,13,W,25,SF,24,20,W,4,8
SF,NFCW,DET,41,33,W,8,ARI,20,24,L,-4,6
LAR,NFCW,CHI,34,14,W,20,DAL,20,17,W,3,10
GB,NFCN,NO,3,38,L,-35,MIN,43,34,W,9,13
DET,NFCN,SF,33,41,L,-8,CHI,23,27,L,-4,5
MIN,NFCN,CIN,24,27,L,-3,GB,34,43,L,-9,7
CHI,NFCN,LAR,14,34,L,-20,DET,27,23,W,4,8